1,807,11:46,69
2,794,11:51,71
3,774,11:56,72
4,743,12:01,73
5,764,12:06,72
6,742,12:11,71
7,765,12:16,70
8,763,12:21,70
9,734,12:26,50
10,722,12:31,71
11,714,12:36,71
12,704,12:41,73
13,676,12:46,71
14,667,12:51,70
15,663,12:56,69
16,674,13:01,71
17,672,13:06,71
18,676,13:11,72
19,685,13:16,73
20,684,13:21,71
21,683,13:26,71
22,690,13:31,70
23,692,13:36,69
24,698,13:41,70
25,669,13:46,71
26,671,13:51,72
27,663,13:56,72
28,659,14:01,73
29,666,14:06,72
30,666,14:11,71
31,679,14:16,70
32,668,14:21,70
33,672,14:26,55
34,674,14:31,70
35,667,14:36,71
36,660,14:41,71
37,660,14:46,67
38,660,14:51,73
39,654,14:56,71
40,655,15:01,71
41,654,15:06,69
42,657,15:11,70
43,653,15:16,71
44,646,15:21,72
,,,70.08
